Company,Sector,PE,3Y High,3Y Low,% Assets
1. Aditya Birla Sun Life Arbitrage Fund
ICICI Lombard General Insurance,Financial,55.14,0.94,0.00,0.67
V-Guard Industries,Cons Durable,56.73,0.66,0.39,0.65
Metropolis Healthcare,Healthcare,56.54,0.77,0.00,0.64
The Ramco Cements,Construction,31.46,0.63,0.00,0.63
HDFC,Financial,34.47,0.97,0.00,0.60
MRF,Automobile,24.75,0.55,0.19,0.50
Shree Cement,Construction,53.69,0.51,0.00,0.47
L&T Infotech,Technology,19.26,0.51,0.00,0.45
Repco Home Finance Ltd.,Financial,7.54,1.46,0.38,0.41
64. Aditya Birla Sun Life Regular Savings Fund - Direct Plan
Aditya Birla SL Overnight Fund Direct-G,-,-,-,-,5.02
Bajaj Finance,Financial,47.90,1.96,0.94,1.96
Reliance Industries,Energy,21.30,1.83,0.00,1.71
HDFC Bank,Financial,29.02,1.58,0.00,1.58
Axis Bank,Financial,45.74,1.30,0.00,1.19
IRB InvIT Fund,Construction,-,1.40,0.00,1.15
Natco Pharma,Healthcare,17.36,1.89,0.92,1.14
Voltas,Cons Durable,47.68,1.17,0.45,1.08
ICICI Bank,Financial,54.53,1.07,0.00,1.07
Honeywell Automation,Engineering,67.34,1.04,0.00,1.04
Kotak Mahindra Bank,Financial,37.73,0.99,0.00,0.99
Bandhan Bank,Financial,30.83,0.95,0.00,0.89
Dalmia Bharat,Construction,36.40,0.98,0.00,0.77
HDFC Life Insurance,Financial,93.40,0.76,0.00,0.76
V-Mart Retail,Services,66.79,0.86,0.23,0.74
Aditya Birla Fashion and Retail,Services,47.95,0.71,0.00,0.71
ICICI Lombard General Insurance,Financial,55.14,0.94,0.00,0.67
V-Guard Industries,Cons Durable,56.73,0.66,0.39,0.65
Metropolis Healthcare,Healthcare,56.54,0.77,0.00,0.64
The Ramco Cements,Construction,31.46,0.63,0.00,0.63
HDFC,Financial,34.47,0.97,0.00,0.60
MRF,Automobile,24.75,0.55,0.19,0.50
Shree Cement,Construction,53.69,0.51,0.00,0.47
L&T Infotech,Technology,19.26,0.51,0.00,0.45
Repco Home Finance Ltd.,Financial,7.54,1.46,0.38,0.41
65. Aditya Birla Sun Life Resurgent India Fund - Series 1 - Direct Plan
Reliance Industries,Energy,21.30,6.88,0.00,6.88
Bajaj Finance,Financial,47.90,6.43,1.55,6.43
Voltas,Cons Durable,47.68,5.97,3.02,5.94
HDFC Bank,Financial,29.02,5.31,3.68,5.31
Bajaj Finserv,Financial,34.76,10.21,3.44,4.25
ICICI Bank,Financial,54.53,4.00,0.00,3.79
V-Guard Industries,Cons Durable,56.73,4.23,2.26,3.79
Berger Paints India,Chemicals,87.98,3.62,1.70,3.62
Natco Pharma,Healthcare,17.36,4.89,1.99,3.42
Indusind Bank,Financial,22.01,4.47,2.91,3.34
Kalpataru Power Trans,Construction,17.01,7.39,2.97,3.07
Axis Bank,Financial,45.74,3.53,0.00,3.05
Tata Global Beverages,FMCG,42.65,2.47,0.00,2.47
Kotak Mahindra Bank,Financial,37.73,2.46,0.00,2.46
UPL,Chemicals,40.97,2.57,1.56,2.41
Shriram Transport Finance,Financial,9.49,4.06,2.24,2.33
Bandhan Bank,Financial,30.83,2.72,0.00,2.25
Quess Corp,Financial,26.84,3.49,0.00,2.25
Maruti Suzuki India,Automobile,31.85,5.19,1.96,2.24
MRF,Automobile,24.75,2.11,0.00,2.11
KPR Mills,Textiles,12.57,2.35,1.63,1.63
Aditya Birla Fashion and Retail,Services,47.95,1.82,0.00,1.60
Titan Company,Cons Durable,84.02,1.64,0.00,1.59
VA Tech Wabag,Engineering,11.49,5.74,1.57,1.57
TVS Motor Co.,Automobile,30.50,2.09,1.25,1.41
66. Aditya Birla Sun Life Resurgent India Fund - Series 1 - Regular Plan
Reliance Industries,Energy,21.30,6.88,0.00,6.88
Bajaj Finance,Financial,47.90,6.43,1.55,6.43
Voltas,Cons Durable,47.68,5.97,3.02,5.94
HDFC Bank,Financial,29.02,5.31,3.68,5.31
Bajaj Finserv,Financial,34.76,10.21,3.44,4.25
ICICI Bank,Financial,54.53,4.00,0.00,3.79
V-Guard Industries,Cons Durable,56.73,4.23,2.26,3.79
Berger Paints India,Chemicals,87.98,3.62,1.70,3.62
Natco Pharma,Healthcare,17.36,4.89,1.99,3.42
Indusind Bank,Financial,22.01,4.47,2.91,3.34
Kalpataru Power Trans,Construction,17.01,7.39,2.97,3.07
Axis Bank,Financial,45.74,3.53,0.00,3.05
Tata Global Beverages,FMCG,42.65,2.47,0.00,2.47
Kotak Mahindra Bank,Financial,37.73,2.46,0.00,2.46
UPL,Chemicals,40.97,2.57,1.56,2.41
Shriram Transport Finance,Financial,9.49,4.06,2.24,2.33
Bandhan Bank,Financial,30.83,2.72,0.00,2.25
Quess Corp,Financial,26.84,3.49,0.00,2.25
Maruti Suzuki India,Automobile,31.85,5.19,1.96,2.24
MRF,Automobile,24.75,2.11,0.00,2.11
KPR Mills,Textiles,12.57,2.35,1.63,1.63
Aditya Birla Fashion and Retail,Services,47.95,1.82,0.00,1.60
Titan Company,Cons Durable,84.02,1.64,0.00,1.59
VA Tech Wabag,Engineering,11.49,5.74,1.57,1.57
TVS Motor Co.,Automobile,30.50,2.09,1.25,1.41
67. Aditya Birla Sun Life Resurgent India Fund - Series 2 - Direct Plan
Reliance Industries,Energy,21.30,8.24,0.00,8.24
Indusind Bank,Financial,22.01,9.25,0.00,7.14
Voltas,Cons Durable,47.68,7.01,0.00,7.01
Bajaj Finance,Financial,47.90,6.68,0.00,6.68
ICICI Bank,Financial,54.53,6.26,0.00,6.04
Bajaj Finserv,Financial,34.76,6.73,0.00,3.86
Natco Pharma,Healthcare,17.36,5.08,0.00,3.63
State Bank of India,Financial,30.54,4.37,0.00,3.35
V-Guard Industries,Cons Durable,56.73,3.56,0.00,3.25
Shree Cement,Construction,53.69,2.97,0.00,2.63
Kotak Mahindra Bank,Financial,37.73,2.54,0.00,2.54
Bandhan Bank,Financial,30.83,3.03,0.00,2.54
Maruti Suzuki India,Automobile,31.85,10.36,0.00,2.42
Tata Global Beverages,FMCG,42.65,2.39,0.00,2.39
UPL,Chemicals,40.97,2.46,0.00,2.34
Axis Bank,Financial,45.74,2.69,0.00,2.33
Larsen & Toubro,Construction,21.94,2.35,0.00,2.28
Quess Corp,Financial,26.84,3.08,0.00,2.01
MRF,Automobile,24.75,1.96,0.00,1.96
Aditya Birla Fashion and Retail,Services,47.95,1.83,0.00,1.63
Titan Company,Cons Durable,84.02,1.61,0.00,1.58
Berger Paints India,Chemicals,87.98,1.57,0.00,1.57
KPR Mills,Textiles,12.57,2.28,0.00,1.55
Jubilant FoodWorks,Services,62.08,1.43,0.00,1.40
Emami,FMCG,48.90,2.27,0.00,1.31
68. Aditya Birla Sun Life Resurgent India Fund - Series 2 - Regular Plan
Reliance Industries,Energy,21.30,8.24,0.00,8.24
Indusind Bank,Financial,22.01,9.25,0.00,7.14
Voltas,Cons Durable,47.68,7.01,0.00,7.01
Bajaj Finance,Financial,47.90,6.68,0.00,6.68
ICICI Bank,Financial,54.53,6.26,0.00,6.04
Bajaj Finserv,Financial,34.76,6.73,0.00,3.86
Natco Pharma,Healthcare,17.36,5.08,0.00,3.63
State Bank of India,Financial,30.54,4.37,0.00,3.35
V-Guard Industries,Cons Durable,56.73,3.56,0.00,3.25
Shree Cement,Construction,53.69,2.97,0.00,2.63
Kotak Mahindra Bank,Financial,37.73,2.54,0.00,2.54
Bandhan Bank,Financial,30.83,3.03,0.00,2.54
Maruti Suzuki India,Automobile,31.85,10.36,0.00,2.42
Tata Global Beverages,FMCG,42.65,2.39,0.00,2.39
UPL,Chemicals,40.97,2.46,0.00,2.34
Axis Bank,Financial,45.74,2.69,0.00,2.33
Larsen & Toubro,Construction,21.94,2.35,0.00,2.28
Quess Corp,Financial,26.84,3.08,0.00,2.01
MRF,Automobile,24.75,1.96,0.00,1.96
Aditya Birla Fashion and Retail,Services,47.95,1.83,0.00,1.63
Titan Company,Cons Durable,84.02,1.61,0.00,1.58
Berger Paints India,Chemicals,87.98,1.57,0.00,1.57
KPR Mills,Textiles,12.57,2.28,0.00,1.55
Jubilant FoodWorks,Services,62.08,1.43,0.00,1.40
Emami,FMCG,48.90,2.27,0.00,1.31
69. Aditya Birla Sun Life Resurgent India Fund - Series 3 - Direct Plan
ICICI Bank,Financial,54.53,7.19,0.00,6.87
Reliance Industries,Energy,21.30,5.05,0.00,5.05
HDFC Bank,Financial,29.02,3.88,0.00,3.88
Colgate-Palmolive,FMCG,56.36,3.17,1.25,3.17
Dabur India,FMCG,56.52,4.02,0.00,3.11
City Union Bank,Financial,21.64,2.93,1.57,2.93
Kajaria Ceramics,Construction,37.85,3.04,0.60,2.78
MRF,Automobile,24.75,2.93,1.42,2.60
Axis Bank,Financial,45.74,2.98,0.00,2.60
Bata India,FMCG,65.80,2.74,0.00,2.59
Bajaj Finance,Financial,47.90,4.07,0.00,2.56
Kansai Nerolac Paints,Chemicals,60.73,2.49,0.00,2.49
Relaxo Footwears,FMCG,73.04,2.75,0.00,2.38
Jyothy Labs,FMCG,31.66,2.90,0.00,2.37
Muthoot Capital Services,Financial,9.67,4.17,0.00,2.00
Cholamandalam Invest. & Fin.,Financial,18.60,2.58,1.48,1.95
Shopper's Stop,Services,48.87,3.21,1.80,1.91
Carborundum Universal,Metals,23.67,2.40,0.00,1.86
Akzo Nobel India,Chemicals,41.26,1.85,0.00,1.85
DCB Bank,Financial,15.91,2.13,0.00,1.80
Indusind Bank,Financial,22.01,2.30,0.00,1.75
Marico,FMCG,43.21,1.84,0.00,1.74
Gruh Finance,Financial,52.02,1.92,0.00,1.70
Gulf Oil Lubricants India,Energy,23.83,1.76,1.00,1.60
Gujarat State Petronet,Energy,13.73,1.69,0.00,1.57
70. Aditya Birla Sun Life Resurgent India Fund - Series 3 - Regular Plan
ICICI Bank,Financial,54.53,7.19,0.00,6.87
Reliance Industries,Energy,21.30,5.05,0.00,5.05
HDFC Bank,Financial,29.02,3.88,0.00,3.88
Colgate-Palmolive,FMCG,56.36,3.17,1.25,3.17
Dabur India,FMCG,56.52,4.02,0.00,3.11
City Union Bank,Financial,21.64,2.93,1.57,2.93
Kajaria Ceramics,Construction,37.85,3.04,0.60,2.78
MRF,Automobile,24.75,2.93,1.42,2.60
Axis Bank,Financial,45.74,2.98,0.00,2.60
Bata India,FMCG,65.80,2.74,0.00,2.59
Bajaj Finance,Financial,47.90,4.07,0.00,2.56
Kansai Nerolac Paints,Chemicals,60.73,2.49,0.00,2.49
Relaxo Footwears,FMCG,73.04,2.75,0.00,2.38
Jyothy Labs,FMCG,31.66,2.90,0.00,2.37
Muthoot Capital Services,Financial,9.67,4.17,0.00,2.00
Cholamandalam Invest. & Fin.,Financial,18.60,2.58,1.48,1.95
Shopper's Stop,Services,48.87,3.21,1.80,1.91
Carborundum Universal,Metals,23.67,2.40,0.00,1.86
Akzo Nobel India,Chemicals,41.26,1.85,0.00,1.85
DCB Bank,Financial,15.91,2.13,0.00,1.80
Indusind Bank,Financial,22.01,2.30,0.00,1.75
Marico,FMCG,43.21,1.84,0.00,1.74
Gruh Finance,Financial,52.02,1.92,0.00,1.70
Gulf Oil Lubricants India,Energy,23.83,1.76,1.00,1.60
Gujarat State Petronet,Energy,13.73,1.69,0.00,1.57
71. Aditya Birla Sun Life Resurgent India Fund - Series 4 - Direct Plan
ICICI Bank,Financial,54.53,7.14,2.58,6.63
Reliance Industries,Energy,21.30,4.40,0.00,4.33
HDFC Bank,Financial,29.02,3.29,0.00,3.29
Colgate-Palmolive,FMCG,56.36,2.95,1.32,2.95
City Union Bank,Financial,21.64,2.77,1.72,2.75
Bata India,FMCG,65.80,3.14,1.15,2.71
Asian Paints,Chemicals,65.76,2.70,1.37,2.70
Dabur India,FMCG,56.52,3.20,2.21,2.55
Bajaj Finance,Financial,47.90,3.41,0.00,2.48
Jyothy Labs,FMCG,31.66,2.90,1.13,2.29
Marico,FMCG,43.21,2.27,0.00,2.11
Kajaria Ceramics,Construction,37.85,2.37,1.26,2.10
Muthoot Capital Services,Financial,9.67,4.39,0.00,2.06
Cholamandalam Invest. & Fin.,Financial,18.60,2.59,1.51,2.06
ACC,Construction,15.79,1.97,0.98,1.84
Shopper's Stop,Services,48.87,2.43,0.00,1.80
Carborundum Universal,Metals,23.67,2.36,0.00,1.75
Whirlpool,Cons Durable,64.25,2.74,0.94,1.62
Indusind Bank,Financial,22.01,2.27,1.59,1.59
Tata Global Beverages,FMCG,42.65,1.73,1.00,1.58
Security and Intelligence Services,Services,27.13,2.14,1.29,1.55
Gruh Finance,Financial,52.02,1.83,0.00,1.54
MRF,Automobile,24.75,1.71,0.00,1.45
Gillette,FMCG,100.81,1.51,0.00,1.36
Akzo Nobel India,Chemicals,41.26,1.86,0.00,1.34
72. Aditya Birla Sun Life Resurgent India Fund - Series 4 - Regular Plan
ICICI Bank,Financial,54.53,7.14,2.58,6.63
Reliance Industries,Energy,21.30,4.40,0.00,4.33
HDFC Bank,Financial,29.02,3.29,0.00,3.29
Colgate-Palmolive,FMCG,56.36,2.95,1.32,2.95
City Union Bank,Financial,21.64,2.77,1.72,2.75
Bata India,FMCG,65.80,3.14,1.15,2.71
Asian Paints,Chemicals,65.76,2.70,1.37,2.70
Dabur India,FMCG,56.52,3.20,2.21,2.55
Bajaj Finance,Financial,47.90,3.41,0.00,2.48
Jyothy Labs,FMCG,31.66,2.90,1.13,2.29
Marico,FMCG,43.21,2.27,0.00,2.11
Kajaria Ceramics,Construction,37.85,2.37,1.26,2.10
Muthoot Capital Services,Financial,9.67,4.39,0.00,2.06
Cholamandalam Invest. & Fin.,Financial,18.60,2.59,1.51,2.06
ACC,Construction,15.79,1.97,0.98,1.84
Shopper's Stop,Services,48.87,2.43,0.00,1.80
Carborundum Universal,Metals,23.67,2.36,0.00,1.75
Whirlpool,Cons Durable,64.25,2.74,0.94,1.62
Indusind Bank,Financial,22.01,2.27,1.59,1.59
Tata Global Beverages,FMCG,42.65,1.73,1.00,1.58
Security and Intelligence Services,Services,27.13,2.14,1.29,1.55
Gruh Finance,Financial,52.02,1.83,0.00,1.54
MRF,Automobile,24.75,1.71,0.00,1.45
Gillette,FMCG,100.81,1.51,0.00,1.36
Akzo Nobel India,Chemicals,41.26,1.86,0.00,1.34
73. Aditya Birla Sun Life Resurgent India Fund - Series 5 - Direct Plan
ICICI Bank,Financial,54.53,7.15,2.29,6.59
Reliance Industries,Energy,21.30,4.64,0.00,4.56
HDFC Bank,Financial,29.02,3.73,0.00,3.73
Bata India,FMCG,65.80,4.34,0.00,3.46
Asian Paints,Chemicals,65.76,2.74,1.33,2.74
Whirlpool,Cons Durable,64.25,2.72,0.00,2.72
Dabur India,FMCG,56.52,3.42,1.24,2.72
Axis Bank,Financial,45.74,2.60,0.00,2.60
Kajaria Ceramics,Construction,37.85,2.86,0.36,2.49
Bajaj Finance,Financial,47.90,3.67,0.94,2.46
MRF,Automobile,24.75,2.88,1.23,2.40
HDFC,Financial,34.47,3.62,0.00,2.19
Cholamandalam Invest. & Fin.,Financial,18.60,2.50,1.12,2.05
Jyothy Labs,FMCG,31.66,2.38,0.15,1.87
Muthoot Capital Services,Financial,9.67,3.86,0.00,1.82
ACC,Construction,15.79,1.94,0.98,1.80
Carborundum Universal,Metals,23.67,2.39,1.51,1.74
Colgate-Palmolive,FMCG,56.36,1.71,0.00,1.71
City Union Bank,Financial,21.64,1.62,0.39,1.60
Indusind Bank,Financial,22.01,2.60,1.58,1.58
State Bank of India,Financial,30.54,2.10,0.00,1.54
Gruh Finance,Financial,52.02,1.85,0.00,1.53
Marico,FMCG,43.21,1.61,0.00,1.50
Grasim Industries,Construction,25.99,1.77,0.00,1.39
Century Textiles & Inds.,Diversified,10.33,2.09,1.22,1.38
74. Aditya Birla Sun Life Resurgent India Fund - Series 5 - Regular Plan
ICICI Bank,Financial,54.53,7.15,2.29,6.59
Reliance Industries,Energy,21.30,4.64,0.00,4.56
HDFC Bank,Financial,29.02,3.73,0.00,3.73
Bata India,FMCG,65.80,4.34,0.00,3.46
Asian Paints,Chemicals,65.76,2.74,1.33,2.74
Whirlpool,Cons Durable,64.25,2.72,0.00,2.72
Dabur India,FMCG,56.52,3.42,1.24,2.72
Axis Bank,Financial,45.74,2.60,0.00,2.60
Kajaria Ceramics,Construction,37.85,2.86,0.36,2.49
Bajaj Finance,Financial,47.90,3.67,0.94,2.46
MRF,Automobile,24.75,2.88,1.23,2.40
HDFC,Financial,34.47,3.62,0.00,2.19
Cholamandalam Invest. & Fin.,Financial,18.60,2.50,1.12,2.05
Jyothy Labs,FMCG,31.66,2.38,0.15,1.87
Muthoot Capital Services,Financial,9.67,3.86,0.00,1.82
ACC,Construction,15.79,1.94,0.98,1.80
Carborundum Universal,Metals,23.67,2.39,1.51,1.74
Colgate-Palmolive,FMCG,56.36,1.71,0.00,1.71
City Union Bank,Financial,21.64,1.62,0.39,1.60
Indusind Bank,Financial,22.01,2.60,1.58,1.58
State Bank of India,Financial,30.54,2.10,0.00,1.54
Gruh Finance,Financial,52.02,1.85,0.00,1.53
Marico,FMCG,43.21,1.61,0.00,1.50
Grasim Industries,Construction,25.99,1.77,0.00,1.39
Century Textiles & Inds.,Diversified,10.33,2.09,1.22,1.38
75. Aditya Birla Sun Life Resurgent India Fund - Series 6 - Direct Plan
Dabur India,FMCG,56.52,6.82,1.28,6.41
Bata India,FMCG,65.80,6.33,2.44,5.02
Asian Paints,Chemicals,65.76,5.15,0.00,5.02
Colgate-Palmolive,FMCG,56.36,4.61,2.78,4.61
MRF,Automobile,24.75,4.45,0.00,4.45
Finolex Industries,Chemicals,24.19,3.89,1.90,3.89
Ultratech Cement,Construction,38.39,3.39,0.00,3.39
Whirlpool,Cons Durable,64.25,2.95,1.85,2.95
Muthoot Capital Services,Financial,9.67,4.85,2.69,2.80
Reliance Industries,Energy,21.30,2.70,0.00,2.70
Indusind Bank,Financial,22.01,2.70,0.00,2.70
BEML,Engineering,31.33,2.63,0.00,2.63
GNFC,Chemicals,4.92,4.58,2.34,2.49
Blue Star,Cons Durable,47.98,2.42,1.74,2.42
GSFC,Chemicals,6.37,3.14,2.37,2.37
Eris Lifesciences,Healthcare,19.19,3.30,0.00,2.29
Gujarat Alkalies & Chem,Chemicals,5.05,2.46,0.00,2.24
Nath Bio Genes (India),FMCG,12.95,2.68,2.10,2.22
Deepak Nitrite,Chemicals,21.11,3.34,0.00,2.01
VRL Logistics,Services,25.52,2.24,0.00,1.94
Chambal Fertilisers & Chem.,Chemicals,10.59,1.97,0.00,1.85
NCC,Construction,6.05,3.06,0.00,1.83
VIP Industries,Chemicals,57.53,1.75,0.00,1.73
ICICI Bank,Financial,54.53,4.33,0.00,1.69
Tamil Nadu Newsprint,FMCG,8.93,2.08,1.30,1.67
76. Aditya Birla Sun Life Resurgent India Fund - Series 6 - Regular Plan
Dabur India,FMCG,56.52,6.82,1.28,6.41
Bata India,FMCG,65.80,6.33,2.44,5.02
Asian Paints,Chemicals,65.76,5.15,0.00,5.02
Colgate-Palmolive,FMCG,56.36,4.61,2.78,4.61
MRF,Automobile,24.75,4.45,0.00,4.45
Finolex Industries,Chemicals,24.19,3.89,1.90,3.89
Ultratech Cement,Construction,38.39,3.39,0.00,3.39
Whirlpool,Cons Durable,64.25,2.95,1.85,2.95
Muthoot Capital Services,Financial,9.67,4.85,2.69,2.80
Reliance Industries,Energy,21.30,2.70,0.00,2.70
Indusind Bank,Financial,22.01,2.70,0.00,2.70
BEML,Engineering,31.33,2.63,0.00,2.63
GNFC,Chemicals,4.92,4.58,2.34,2.49
Blue Star,Cons Durable,47.98,2.42,1.74,2.42
GSFC,Chemicals,6.37,3.14,2.37,2.37
Eris Lifesciences,Healthcare,19.19,3.30,0.00,2.29
Gujarat Alkalies & Chem,Chemicals,5.05,2.46,0.00,2.24
Nath Bio Genes (India),FMCG,12.95,2.68,2.10,2.22
Deepak Nitrite,Chemicals,21.11,3.34,0.00,2.01
VRL Logistics,Services,25.52,2.24,0.00,1.94
Chambal Fertilisers & Chem.,Chemicals,10.59,1.97,0.00,1.85
NCC,Construction,6.05,3.06,0.00,1.83
VIP Industries,Chemicals,57.53,1.75,0.00,1.73
ICICI Bank,Financial,54.53,4.33,0.00,1.69
Tamil Nadu Newsprint,FMCG,8.93,2.08,1.30,1.67
77. Aditya Birla Sun Life Resurgent India Fund - Series 7 - Direct Plan
Dabur India,FMCG,56.52,7.53,4.40,7.12
Reliance Industries,Energy,21.30,5.16,0.00,5.16
Hindustan Unilever,FMCG,69.35,4.36,0.00,4.36
VIP Industries,Chemicals,57.53,4.13,0.00,4.07
MRF,Automobile,24.75,3.98,2.40,3.98
Colgate-Palmolive,FMCG,56.36,4.54,2.75,3.94
ICICI Bank,Financial,54.53,4.87,0.00,3.86
Asian Paints,Chemicals,65.76,7.28,1.70,3.84
Finolex Industries,Chemicals,24.19,3.74,2.75,3.74
Ultratech Cement,Construction,38.39,3.18,0.00,3.18
Whirlpool,Cons Durable,64.25,2.96,1.86,2.96
Indusind Bank,Financial,22.01,2.90,0.00,2.90
SRF,Diversified,23.36,4.08,0.00,2.88
Gujarat Alkalies & Chem,Chemicals,5.05,3.02,2.20,2.46
Marico,FMCG,43.21,2.48,0.00,2.37
Engineers India,Construction,16.81,2.33,0.00,2.33
NCC,Construction,6.05,3.26,0.00,2.30
Chambal Fertilisers & Chem.,Chemicals,10.59,2.34,0.00,2.20
Sadbhav Engineering,Construction,14.68,3.51,0.00,2.13
Eris Lifesciences,Healthcare,19.19,3.09,0.00,2.13
GNFC,Chemicals,4.92,3.90,1.98,2.12
HDFC,Financial,34.47,2.07,0.00,2.07
BEML,Engineering,31.33,2.06,0.00,2.06
LIC Housing Fin.,Financial,7.07,1.97,0.00,1.97
Deepak Nitrite,Chemicals,21.11,3.92,1.81,1.86
78. Aditya Birla Sun Life Resurgent India Fund - Series 7 - Regular Plan
Dabur India,FMCG,56.52,7.53,4.40,7.12
Reliance Industries,Energy,21.30,5.16,0.00,5.16
Hindustan Unilever,FMCG,69.35,4.36,0.00,4.36
VIP Industries,Chemicals,57.53,4.13,0.00,4.07
MRF,Automobile,24.75,3.98,2.40,3.98
Colgate-Palmolive,FMCG,56.36,4.54,2.75,3.94
ICICI Bank,Financial,54.53,4.87,0.00,3.86
Asian Paints,Chemicals,65.76,7.28,1.70,3.84
Finolex Industries,Chemicals,24.19,3.74,2.75,3.74
Ultratech Cement,Construction,38.39,3.18,0.00,3.18
Whirlpool,Cons Durable,64.25,2.96,1.86,2.96
Indusind Bank,Financial,22.01,2.90,0.00,2.90
SRF,Diversified,23.36,4.08,0.00,2.88
Gujarat Alkalies & Chem,Chemicals,5.05,3.02,2.20,2.46
Marico,FMCG,43.21,2.48,0.00,2.37
Engineers India,Construction,16.81,2.33,0.00,2.33
NCC,Construction,6.05,3.26,0.00,2.30
Chambal Fertilisers & Chem.,Chemicals,10.59,2.34,0.00,2.20
Sadbhav Engineering,Construction,14.68,3.51,0.00,2.13
Eris Lifesciences,Healthcare,19.19,3.09,0.00,2.13
GNFC,Chemicals,4.92,3.90,1.98,2.12
HDFC,Financial,34.47,2.07,0.00,2.07
BEML,Engineering,31.33,2.06,0.00,2.06
LIC Housing Fin.,Financial,7.07,1.97,0.00,1.97
Deepak Nitrite,Chemicals,21.11,3.92,1.81,1.86
79. Aditya Birla Sun Life Retirement Fund - The 30s Plan - Direct Plan
Honeywell Automation,Engineering,67.34,9.00,6.33,9.00
Reliance Industries,Energy,21.30,8.58,7.42,8.58
HDFC,Financial,34.47,7.27,4.73,7.27
Gillette,FMCG,100.81,7.38,5.82,6.38
Pfizer,Healthcare,33.57,5.79,4.96,5.79
Kotak Mahindra Bank,Financial,37.73,4.60,3.37,4.60
Glaxosmithkline Pharma,Healthcare,30.37,4.38,3.69,4.38
Bayer CropScience,Healthcare,101.68,5.30,4.28,4.35
Larsen & Toubro,Construction,21.94,4.32,3.72,4.32
IDFC First Bank,Financial,0.00,3.22,2.25,2.68
Thomas Cook (India),Services,115.55,4.53,2.60,2.60
Shopper's Stop,Services,48.87,2.95,2.21,2.47
Kansai Nerolac Paints,Chemicals,60.73,2.45,1.28,2.45
Johnson Controls - Hitachi Air Conditioning India,Cons Durable,57.10,2.62,2.03,2.45
HDFC Bank,Financial,29.02,2.50,1.73,2.19
Sundaram-Clayton,Automobile,38.55,2.79,1.80,2.15
ICICI Bank,Financial,54.53,1.87,1.17,1.67
Bata India,FMCG,65.80,1.62,1.23,1.62
Biocon,Healthcare,31.15,2.02,1.46,1.53
Shree Cement,Construction,53.69,2.00,1.52,1.52
MRF,Automobile,24.75,1.53,0.94,1.49
Bharat Bijlee,Engineering,13.30,1.71,0.00,1.44
P&G Hygiene & Health Care,FMCG,91.85,1.35,0.71,1.35
Century Textiles & Inds.,Diversified,10.33,1.49,1.29,1.31
Axis Bank,Financial,45.74,1.29,0.95,1.14
80. Aditya Birla Sun Life Retirement Fund - The 30s Plan - Regular Plan
Honeywell Automation,Engineering,67.34,9.00,6.33,9.00
Reliance Industries,Energy,21.30,8.58,7.42,8.58
HDFC,Financial,34.47,7.27,4.73,7.27
Gillette,FMCG,100.81,7.38,5.82,6.38
Pfizer,Healthcare,33.57,5.79,4.96,5.79
Kotak Mahindra Bank,Financial,37.73,4.60,3.37,4.60
Glaxosmithkline Pharma,Healthcare,30.37,4.38,3.69,4.38
Bayer CropScience,Healthcare,101.68,5.30,4.28,4.35
Larsen & Toubro,Construction,21.94,4.32,3.72,4.32
IDFC First Bank,Financial,0.00,3.22,2.25,2.68
Thomas Cook (India),Services,115.55,4.53,2.60,2.60
Shopper's Stop,Services,48.87,2.95,2.21,2.47
Kansai Nerolac Paints,Chemicals,60.73,2.45,1.28,2.45
Johnson Controls - Hitachi Air Conditioning India,Cons Durable,57.10,2.62,2.03,2.45
HDFC Bank,Financial,29.02,2.50,1.73,2.19
Sundaram-Clayton,Automobile,38.55,2.79,1.80,2.15
ICICI Bank,Financial,54.53,1.87,1.17,1.67
Bata India,FMCG,65.80,1.62,1.23,1.62
Biocon,Healthcare,31.15,2.02,1.46,1.53
Shree Cement,Construction,53.69,2.00,1.52,1.52
MRF,Automobile,24.75,1.53,0.94,1.49
Bharat Bijlee,Engineering,13.30,1.71,0.00,1.44
P&G Hygiene & Health Care,FMCG,91.85,1.35,0.71,1.35
Century Textiles & Inds.,Diversified,10.33,1.49,1.29,1.31
Axis Bank,Financial,45.74,1.29,0.95,1.14
81. Aditya Birla Sun Life Retirement Fund - The 40s Plan - Direct Plan
Honeywell Automation,Engineering,67.34,6.95,4.72,6.95
Reliance Industries,Energy,21.30,6.44,5.65,6.44
HDFC,Financial,34.47,5.45,3.83,5.45
Gillette,FMCG,100.81,5.49,4.34,5.15
Pfizer,Healthcare,33.57,4.46,3.44,4.46
Kotak Mahindra Bank,Financial,37.73,3.63,2.51,3.63
Glaxosmithkline Pharma,Healthcare,30.37,3.38,2.66,3.38
Larsen & Toubro,Construction,21.94,3.28,2.72,3.26
Bayer CropScience,Healthcare,101.68,3.95,3.06,3.20
Thomas Cook (India),Services,115.55,3.40,1.92,2.00
Johnson Controls - Hitachi Air Conditioning India,Cons Durable,57.10,1.95,1.58,1.92
Shopper's Stop,Services,48.87,2.21,1.68,1.90
IDFC First Bank,Financial,0.00,2.22,1.82,1.87
Kansai Nerolac Paints,Chemicals,60.73,1.87,1.01,1.87
HDFC Bank,Financial,29.02,1.90,1.29,1.58
Sundaram-Clayton,Automobile,38.55,2.08,1.22,1.53
Bata India,FMCG,65.80,1.29,0.89,1.29
ICICI Bank,Financial,54.53,1.31,0.95,1.18
Biocon,Healthcare,31.15,1.51,1.04,1.17
