Company,Sector,PE,3Y High,3Y Low,% Assets
1. Aditya Birla Sun Life Arbitrage Fund
Max Financial Services,Financial,78.41,2.46,0.00,1.26
Cholamandalam Invest. & Fin.,Financial,18.57,5.60,1.10,1.10
JM Financial,Financial,11.27,1.57,0.00,0.68
LIC Housing Fin.,Financial,7.08,1.54,0.00,0.66
Indostar Capital Finance,Financial,6.62,0.83,0.00,0.42
ICRA,Financial,25.27,1.31,0.39,0.39
6. Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan
Tyson Foods,FMCG,-,-,-,7.99
Bunge Ltd. (US),FMCG,-,-,-,7.87
Nutrien,Chemicals,-,-,-,7.52
Archer Daniels Midland (Chicago),FMCG,-,-,-,7.51
CF Industries Holdings Inc(US),FMCG,-,-,-,7.18
Associated British Foods Ltd.,FMCG,-,-,-,7.17
BRF Brasil Foods SA,FMCG,-,-,-,6.15
Deere & Company (USA),Engineering,-,-,-,5.61
Kubota Corp (Foreign),Engineering,-,-,-,5.59
Marine Harvest ASA,FMCG,-,-,-,4.63
Wilmar International (US),FMCG,-,-,-,4.55
Yara International ASA (Foreig,Chemicals,-,-,-,3.70
Ingredion INC (USA),FMCG,-,-,-,3.48
Nath Bio Genes (India),FMCG,12.86,2.91,0.00,2.12
Mosaic Company,Chemicals,-,-,-,2.03
Sociedad Quimica y Minera de Chile SA,Chemicals,-,-,-,1.85
Israel Chemicals (Foreign),Chemicals,-,-,-,1.54
Nippon Meat Packers,FMCG,-,-,-,0.64
Golden Agri Resources,FMCG,-,-,-,0.31
7. Aditya Birla Sun Life Digital India Fund
Infosys,Technology,17.88,33.46,23.22,27.46
Tata Consultancy Services,Technology,24.03,13.13,1.86,10.85
HCL Technologies,Technology,14.98,10.55,8.59,10.19
Tech Mahindra,Technology,16.09,11.19,5.26,7.77
Bharti Airtel,Communication,0.00,9.11,0.00,5.23
Honeywell Automation,Engineering,66.64,5.20,0.00,5.20
Sun TV Network,Services,14.92,7.50,0.00,3.83
Majesco,Technology,23.30,5.12,0.00,3.40
Persistent Systems,Technology,13.30,6.78,1.00,2.51
Apple Inc. (USA),Cons Durable,-,-,-,2.47
MindTree,Technology,19.16,7.38,0.00,2.32
Just Dial,Services,16.53,2.36,0.00,2.28
Cyient,Technology,10.15,6.44,0.40,1.91
Indiamart Intermesh,Services,287.45,2.19,0.00,1.66
Microsoft Corportion (US),Technology,-,-,-,1.61
Sterlite Technologies,Communication,10.15,6.66,0.00,1.55
KPIT Technologies,Technology,49.08,1.33,0.00,1.33
Zee Entertainment,Services,12.92,4.58,0.00,1.26
Cognizant Technology Solutions Corp.,Technology,-,-,-,1.10
Quess Corp,Financial,26.74,1.15,0.00,1.03
Dish TV India,Services,0.00,4.48,0.00,1.00
Affle (India),Communication,73.00,1.49,0.00,0.93
INOX Leisure,Services,29.50,6.11,0.31,0.62
Firstsource Solutions,Services,9.34,2.57,0.00,0.48
Info Edge (India),Services,100.66,1.18,0.00,0.31
8. Aditya Birla Sun Life Dividend Yield Fund
Infosys,Technology,17.88,6.31,0.66,6.02
Hero Motocorp,Automobile,14.51,3.57,0.00,3.46
ITC,FMCG,24.06,5.32,0.00,3.37
HDFC Bank,Financial,29.04,3.31,0.00,3.31
Coal India,Energy,7.03,3.86,0.00,2.97
Mahanagar Gas,Energy,15.97,3.30,2.18,2.77
Orient Refractories Ltd.,Construction,29.93,2.88,1.27,2.76
NTPC,Energy,10.18,3.04,0.00,2.66
Sanofi India,Healthcare,36.34,4.08,1.96,2.57
ICICI Securities,Financial,21.10,2.51,0.00,2.51
Starbucks Corporation (USA),FMCG,-,-,-,2.36
Bharat Electronics,Engineering,14.22,2.30,0.00,2.30
City Union Bank,Financial,21.80,2.26,1.04,2.26
Greaves Cotton,Engineering,19.42,2.75,1.78,2.26
Pfizer,Healthcare,33.24,3.63,1.52,2.26
P&G Hygiene & Health Care,FMCG,92.69,2.83,1.64,2.12
L&T Infotech,Technology,19.46,2.39,0.00,2.03
Tata Consultancy Services,Technology,24.03,2.21,0.00,1.98
Tech Mahindra,Technology,16.09,2.96,0.00,1.92
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.82,2.53,0.00,1.87
NLC India,Energy,6.96,1.85,0.00,1.85
ICICI Bank,Financial,54.60,6.90,0.00,1.82
Avanti Feeds,FMCG,17.56,1.77,0.00,1.77
L'Oreal,FMCG,-,-,-,1.74
Castrol India,Energy,18.17,1.89,0.00,1.72
9. Aditya Birla Sun Life Dual Advantage Fund Series 2 - Regular Plan
Metropolis Healthcare,Healthcare,56.68,1.95,0.00,1.95
ICICI Bank,Financial,54.60,1.74,1.47,1.69
HDFC Bank,Financial,29.04,1.61,1.43,1.58
HDFC,Financial,34.78,1.62,1.43,1.43
State Bank of India,Financial,30.54,1.87,1.37,1.37
Whirlpool,Cons Durable,62.92,0.99,0.76,0.99
Voltas,Cons Durable,47.85,0.87,0.76,0.87
Atul,Chemicals,26.43,0.83,0.72,0.80
