Company,Sector,PE,3Y High,3Y Low,% Assets
1. HDFC Small Cap Fund - Direct Plan
Tata Consultancy Services,Technology,23.99,4.39,2.26,3.86
NTPC,Energy,10.16,4.47,0.95,3.68
Axis Bank,Financial,45.64,3.92,1.74,3.17
Coal India,Energy,7.06,2.98,0.00,2.72
HPCL,Energy,9.29,2.56,0.00,2.56
Power Grid Corporation,Energy,7.00,3.03,1.62,2.35
HDFC,Financial,34.48,4.73,2.30,2.30
BPCL,Energy,19.39,2.26,0.00,2.26
Power Finance Corp.,Financial,4.00,2.17,0.86,1.63
Tata Steel,Metals,4.78,3.42,1.37,1.61
Aurobindo Pharma,Healthcare,10.95,3.31,0.63,1.21
GAIL,Energy,9.58,2.11,0.75,1.20
CESC,Energy,10.89,2.71,1.18,1.19
Bank of Baroda,Financial,57.41,2.50,0.95,1.19
REC,Financial,4.68,1.43,0.57,1.09
Sun Pharmaceutical Inds.,Healthcare,32.00,1.51,0.00,1.08
Tata Chemicals,Chemicals,13.08,1.65,0.41,1.08
Interglobe Aviation,Services,48.50,0.99,0.00,0.99
6. HDFC Top 100 Fund - Direct Plan
ICICI Bank,Financial,54.91,8.86,6.05,8.86
Reliance Industries,Energy,21.20,8.69,3.68,8.69
HDFC Bank,Financial,29.06,8.29,5.92,8.29
Infosys,Technology,17.88,8.64,4.34,7.44
Larsen & Toubro,Construction,21.90,6.85,5.55,6.18
State Bank of India,Financial,30.54,8.50,5.27,6.16
ITC,FMCG,24.04,5.70,2.37,5.15
Tata Consultancy Services,Technology,23.99,4.39,2.26,3.86
NTPC,Energy,10.16,4.47,0.95,3.68
Axis Bank,Financial,45.64,3.92,1.74,3.17
Coal India,Energy,7.06,2.98,0.00,2.72
HPCL,Energy,9.29,2.56,0.00,2.56
Power Grid Corporation,Energy,7.00,3.03,1.62,2.35
HDFC,Financial,34.48,4.73,2.30,2.30
BPCL,Energy,19.39,2.26,0.00,2.26
Power Finance Corp.,Financial,4.00,2.17,0.86,1.63
Tata Steel,Metals,4.78,3.42,1.37,1.61
Aurobindo Pharma,Healthcare,10.95,3.31,0.63,1.21
GAIL,Energy,9.58,2.11,0.75,1.20
CESC,Energy,10.89,2.71,1.18,1.19
Bank of Baroda,Financial,57.41,2.50,0.95,1.19
REC,Financial,4.68,1.43,0.57,1.09
Sun Pharmaceutical Inds.,Healthcare,32.00,1.51,0.00,1.08
Tata Chemicals,Chemicals,13.08,1.65,0.41,1.08
Interglobe Aviation,Services,48.50,0.99,0.00,0.99
7. HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Direct Plan
HSBC GIF Asia Pacific Ex Japan Dividend Yield,-,-,-,-,96.84
8. HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Regular Plan
