Company,Sector,PE,3Y High,3Y Low,% Assets
1. HDFC Small Cap Fund - Direct Plan
Indian Hotels,Services,65.94,2.79,0.00,2.44
HCL Technologies,Technology,14.95,3.16,0.69,2.37
Infosys,Technology,17.88,5.52,0.00,2.36
SBI Life Insurance Company,Financial,81.79,2.84,0.00,2.34
State Bank of India,Financial,30.54,4.38,0.15,2.13
ACC,Construction,15.67,2.37,0.00,2.12
Muthoot Finance,Financial,13.75,2.04,0.00,2.04
Apollo Tyres,Automobile,18.33,2.95,0.57,2.01
Jubilant FoodWorks,Services,63.32,1.92,0.00,1.92
Exide Industries,Engineering,17.70,2.14,0.00,1.83
Alkem Laboratories,Healthcare,28.99,1.81,0.00,1.79
LIC Housing Fin.,Financial,7.07,2.07,0.00,1.75
PI Industries,Chemicals,42.73,2.20,0.00,1.73
Tata Power,Energy,24.54,2.65,0.00,1.71
Vedanta,Metals,7.91,3.87,0.00,1.71
121. ICICI Prudential Large & Mid Cap Fund - Direct Plan
NTPC,Energy,10.16,8.70,0.85,7.93
ICICI Bank,Financial,54.91,7.46,2.70,5.87
Axis Bank,Financial,45.64,5.60,0.00,4.31
ITC,FMCG,24.04,4.84,0.00,4.16
Tata Chemicals,Chemicals,13.08,5.81,3.02,3.58
Hindalco Inds.,Metals,50.91,3.83,0.00,3.21
HDFC Bank,Financial,29.06,6.06,0.00,2.97
Federal Bank,Financial,11.02,4.20,1.40,2.77
Larsen & Toubro,Construction,21.90,3.73,0.00,2.57
Bharti Airtel,Communication,0.00,8.43,2.28,2.54
Indian Hotels,Services,65.94,2.79,0.00,2.44
HCL Technologies,Technology,14.95,3.16,0.69,2.37
Infosys,Technology,17.88,5.52,0.00,2.36
SBI Life Insurance Company,Financial,81.79,2.84,0.00,2.34
State Bank of India,Financial,30.54,4.38,0.15,2.13
ACC,Construction,15.67,2.37,0.00,2.12
Muthoot Finance,Financial,13.75,2.04,0.00,2.04
Apollo Tyres,Automobile,18.33,2.95,0.57,2.01
Jubilant FoodWorks,Services,63.32,1.92,0.00,1.92
Exide Industries,Engineering,17.70,2.14,0.00,1.83
Alkem Laboratories,Healthcare,28.99,1.81,0.00,1.79
LIC Housing Fin.,Financial,7.07,2.07,0.00,1.75
PI Industries,Chemicals,42.73,2.20,0.00,1.73
Tata Power,Energy,24.54,2.65,0.00,1.71
Vedanta,Metals,7.91,3.87,0.00,1.71
122. ICICI Prudential Long Term Equity Fund (Tax Saving)
NTPC,Energy,10.16,6.67,0.00,6.67
ICICI Bank,Financial,54.91,5.92,0.00,5.92
Bharti Airtel,Communication,0.00,5.90,0.00,5.90
ITC,FMCG,24.04,7.25,0.00,5.17
Hindalco Inds.,Metals,50.91,4.53,0.00,4.53
ONGC,Energy,6.72,4.53,0.00,4.28
Larsen & Toubro,Construction,21.90,3.74,0.00,3.57
SBI Life Insurance Company,Financial,81.79,3.60,0.00,3.52
Axis Bank,Financial,45.64,4.89,0.00,3.38
State Bank of India,Financial,30.54,7.98,0.00,3.04
HDFC Bank,Financial,29.06,6.11,0.00,2.79
Infosys,Technology,17.88,8.34,1.52,2.62
Maruti Suzuki India,Automobile,32.03,3.09,0.00,2.42
Vedanta,Metals,7.91,3.03,0.00,2.30
Blue Star,Cons Durable,48.13,2.14,0.00,2.14
Sun Pharmaceutical Inds.,Healthcare,32.00,4.63,0.00,2.02
GAIL,Energy,9.58,4.03,0.00,2.02
Indian Oil Corp.,Energy,9.75,3.04,0.00,1.99
LIC Housing Fin.,Financial,7.07,2.82,0.00,1.98
Ipca Laboratories,Healthcare,23.02,4.37,1.90,1.90
TVS Motor Co.,Automobile,31.09,2.73,0.00,1.75
L&T Infotech,Technology,19.23,2.29,0.00,1.56
HDFC,Financial,34.48,5.42,0.00,1.56
Astrazeneca Pharma India,Healthcare,91.48,2.34,0.99,1.54
Tata Steel,Metals,4.78,2.02,0.00,1.51
123. ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan
NTPC,Energy,10.16,6.67,0.00,6.67
ICICI Bank,Financial,54.91,5.92,0.00,5.92
Bharti Airtel,Communication,0.00,5.90,0.00,5.90
ITC,FMCG,24.04,7.25,0.00,5.17
Hindalco Inds.,Metals,50.91,4.53,0.00,4.53
ONGC,Energy,6.72,4.53,0.00,4.28
Larsen & Toubro,Construction,21.90,3.74,0.00,3.57
SBI Life Insurance Company,Financial,81.79,3.60,0.00,3.52
Axis Bank,Financial,45.64,4.89,0.00,3.38
State Bank of India,Financial,30.54,7.98,0.00,3.04
HDFC Bank,Financial,29.06,6.11,0.00,2.79
Infosys,Technology,17.88,8.34,1.52,2.62
Maruti Suzuki India,Automobile,32.03,3.09,0.00,2.42
Vedanta,Metals,7.91,3.03,0.00,2.30
Blue Star,Cons Durable,48.13,2.14,0.00,2.14
Sun Pharmaceutical Inds.,Healthcare,32.00,4.63,0.00,2.02
GAIL,Energy,9.58,4.03,0.00,2.02
Indian Oil Corp.,Energy,9.75,3.04,0.00,1.99
LIC Housing Fin.,Financial,7.07,2.82,0.00,1.98
Ipca Laboratories,Healthcare,23.02,4.37,1.90,1.90
TVS Motor Co.,Automobile,31.09,2.73,0.00,1.75
L&T Infotech,Technology,19.23,2.29,0.00,1.56
HDFC,Financial,34.48,5.42,0.00,1.56
Astrazeneca Pharma India,Healthcare,91.48,2.34,0.99,1.54
Tata Steel,Metals,4.78,2.02,0.00,1.51
124. ICICI Prudential Long Term Wealth Enhancement Fund
HDFC Bank,Financial,29.06,9.56,5.07,9.56
Kotak Mahindra Bank,Financial,37.66,5.91,4.10,5.91
PVR,Services,52.58,5.57,3.01,5.57
Titan Company,Cons Durable,83.85,5.21,3.00,5.04
Bajaj Finserv,Financial,34.74,4.69,3.04,4.69
Avenue Supermarts,Services,104.46,5.55,3.01,4.62
Indian Hotels,Services,65.94,4.50,2.10,4.50
Motherson Sumi Systems,Automobile,22.33,8.39,3.77,4.49
Trent,Services,129.40,4.15,0.00,3.94
ICICI Bank,Financial,54.91,4.00,0.00,3.91
TVS Motor Co.,Automobile,31.09,5.70,3.25,3.58
Interglobe Aviation,Services,48.50,3.44,0.00,3.44
Britannia Inds.,FMCG,68.60,4.02,3.11,3.39
Shree Cement,Construction,53.02,3.61,2.62,3.17
Axis Bank,Financial,45.64,3.61,0.00,3.09
State Bank of India,Financial,30.54,4.05,2.81,3.08
United Breweries,FMCG,69.79,3.36,0.00,3.00
Maruti Suzuki India,Automobile,32.03,4.00,2.42,2.79
KNR Constructions,Construction,13.59,3.87,2.34,2.77
ITC,FMCG,24.04,3.16,0.00,2.61
Eicher Motors,Automobile,26.93,3.75,0.00,1.95
Tata Consultancy Services,Technology,23.99,7.76,1.85,1.94
Godrej Agrovet,FMCG,30.20,3.05,1.87,1.92
Hindalco Inds.,Metals,50.91,2.12,1.61,1.61
SP Apparels,Textiles,7.55,2.08,0.00,1.12
125. ICICI Prudential Long Term Wealth Enhancement Fund - Direct Plan
HDFC Bank,Financial,29.06,9.56,5.07,9.56
Kotak Mahindra Bank,Financial,37.66,5.91,4.10,5.91
PVR,Services,52.58,5.57,3.01,5.57
Titan Company,Cons Durable,83.85,5.21,3.00,5.04
Bajaj Finserv,Financial,34.74,4.69,3.04,4.69
Avenue Supermarts,Services,104.46,5.55,3.01,4.62
Indian Hotels,Services,65.94,4.50,2.10,4.50
Motherson Sumi Systems,Automobile,22.33,8.39,3.77,4.49
Trent,Services,129.40,4.15,0.00,3.94
ICICI Bank,Financial,54.91,4.00,0.00,3.91
TVS Motor Co.,Automobile,31.09,5.70,3.25,3.58
Interglobe Aviation,Services,48.50,3.44,0.00,3.44
Britannia Inds.,FMCG,68.60,4.02,3.11,3.39
Shree Cement,Construction,53.02,3.61,2.62,3.17
Axis Bank,Financial,45.64,3.61,0.00,3.09
State Bank of India,Financial,30.54,4.05,2.81,3.08
United Breweries,FMCG,69.79,3.36,0.00,3.00
Maruti Suzuki India,Automobile,32.03,4.00,2.42,2.79
KNR Constructions,Construction,13.59,3.87,2.34,2.77
ITC,FMCG,24.04,3.16,0.00,2.61
Eicher Motors,Automobile,26.93,3.75,0.00,1.95
Tata Consultancy Services,Technology,23.99,7.76,1.85,1.94
Godrej Agrovet,FMCG,30.20,3.05,1.87,1.92
Hindalco Inds.,Metals,50.91,2.12,1.61,1.61
SP Apparels,Textiles,7.55,2.08,0.00,1.12
126. ICICI Prudential Manufacture in India Fund
Nestle India,FMCG,85.62,6.22,4.37,6.22
Hindalco Inds.,Metals,50.91,6.22,4.09,6.12
Maruti Suzuki India,Automobile,32.03,10.04,4.29,5.22
Hindustan Unilever,FMCG,69.38,7.27,4.06,4.99
Reliance Industries,Energy,21.20,8.48,3.87,4.65
Indian Oil Corp.,Energy,9.75,5.30,2.55,4.18
NTPC,Energy,10.16,4.31,0.00,3.82
Siemens,Engineering,58.06,3.09,0.00,3.09
Cummins India,Engineering,23.86,2.98,0.96,2.98
UPL,Chemicals,41.06,2.89,1.25,2.89
Sun Pharmaceutical Inds.,Healthcare,32.00,5.24,2.69,2.78
National Aluminium,Metals,7.12,2.71,1.80,2.71
Ultratech Cement,Construction,38.23,2.65,0.00,2.65
Tata Chemicals,Chemicals,13.08,2.70,1.71,2.63
Apollo Tyres,Automobile,18.33,2.62,0.52,2.53
Cipla,Healthcare,23.55,3.11,2.52,2.52
Mahindra & Mahindra,Automobile,12.56,2.23,0.00,2.23
Vedanta,Metals,7.91,2.63,2.02,2.23
BHEL,Engineering,22.37,2.65,1.16,2.09
Hindustan Aeronautics,Services,9.62,1.97,0.00,1.97
Amara Raja Batteries,Engineering,22.31,2.41,0.00,1.94
Voltas,Cons Durable,47.61,3.87,1.27,1.91
JK Cement,Construction,19.83,1.63,0.00,1.60
United Breweries,FMCG,69.79,1.65,0.58,1.55
HPCL,Energy,9.29,1.97,1.04,1.51
127. ICICI Prudential Manufacture in India Fund - Direct Plan
Nestle India,FMCG,85.62,6.22,4.37,6.22
Hindalco Inds.,Metals,50.91,6.22,4.09,6.12
Maruti Suzuki India,Automobile,32.03,10.04,4.29,5.22
Hindustan Unilever,FMCG,69.38,7.27,4.06,4.99
Reliance Industries,Energy,21.20,8.48,3.87,4.65
Indian Oil Corp.,Energy,9.75,5.30,2.55,4.18
NTPC,Energy,10.16,4.31,0.00,3.82
Siemens,Engineering,58.06,3.09,0.00,3.09
Cummins India,Engineering,23.86,2.98,0.96,2.98
UPL,Chemicals,41.06,2.89,1.25,2.89
Sun Pharmaceutical Inds.,Healthcare,32.00,5.24,2.69,2.78
National Aluminium,Metals,7.12,2.71,1.80,2.71
Ultratech Cement,Construction,38.23,2.65,0.00,2.65
Tata Chemicals,Chemicals,13.08,2.70,1.71,2.63
Apollo Tyres,Automobile,18.33,2.62,0.52,2.53
Cipla,Healthcare,23.55,3.11,2.52,2.52
Mahindra & Mahindra,Automobile,12.56,2.23,0.00,2.23
Vedanta,Metals,7.91,2.63,2.02,2.23
BHEL,Engineering,22.37,2.65,1.16,2.09
Hindustan Aeronautics,Services,9.62,1.97,0.00,1.97
Amara Raja Batteries,Engineering,22.31,2.41,0.00,1.94
Voltas,Cons Durable,47.61,3.87,1.27,1.91
JK Cement,Construction,19.83,1.63,0.00,1.60
United Breweries,FMCG,69.79,1.65,0.58,1.55
HPCL,Energy,9.29,1.97,1.04,1.51
128. ICICI Prudential Midcap Fund
Indian Hotels,Services,65.94,5.98,0.00,5.82
PI Industries,Chemicals,42.73,4.72,0.00,4.72
Tata Chemicals,Chemicals,13.08,5.25,1.17,4.40
Exide Industries,Engineering,17.70,5.14,2.53,3.92
Muthoot Finance,Financial,13.75,3.74,0.00,3.74
Voltas,Cons Durable,47.61,3.38,0.00,3.35
LIC Housing Fin.,Financial,7.07,3.92,0.00,3.23
Federal Bank,Financial,11.02,3.10,0.00,3.10
Fortis Healthcare (India),Healthcare,0.00,3.90,0.00,2.92
Jubilant FoodWorks,Services,63.32,2.74,0.00,2.74
AIA Engineering,Metals,30.21,3.21,0.00,2.60
M&M Financial Services,Financial,17.17,3.13,0.00,2.58
Gujarat State Petronet,Energy,13.64,2.56,0.00,2.19
Engineers India,Construction,16.85,6.25,1.94,2.15
Cummins India,Engineering,23.86,2.47,0.00,2.09
National Aluminium,Metals,7.12,2.49,0.00,1.82
Chalet Hotel,Services,0.00,2.02,0.00,1.80
Bank of Baroda,Financial,57.41,1.82,0.00,1.71
Tata Power,Energy,24.54,1.79,0.00,1.64
TVS Motor Co.,Automobile,31.09,1.62,0.00,1.62
Thomas Cook (India),Services,116.25,3.70,1.38,1.59
Gujarat Pipavav Port,Services,17.94,3.19,0.00,1.56
Apollo Tyres,Automobile,18.33,2.35,0.00,1.54
ACC,Construction,15.67,1.56,0.00,1.46
Elgi Equipments,Engineering,42.20,3.76,1.16,1.35
129. ICICI Prudential Midcap Fund - Direct Plan
Indian Hotels,Services,65.94,5.98,0.00,5.82
PI Industries,Chemicals,42.73,4.72,0.00,4.72
Tata Chemicals,Chemicals,13.08,5.25,1.17,4.40
Exide Industries,Engineering,17.70,5.14,2.53,3.92
Muthoot Finance,Financial,13.75,3.74,0.00,3.74
Voltas,Cons Durable,47.61,3.38,0.00,3.35
LIC Housing Fin.,Financial,7.07,3.92,0.00,3.23
Federal Bank,Financial,11.02,3.10,0.00,3.10
Fortis Healthcare (India),Healthcare,0.00,3.90,0.00,2.92
Jubilant FoodWorks,Services,63.32,2.74,0.00,2.74
AIA Engineering,Metals,30.21,3.21,0.00,2.60
M&M Financial Services,Financial,17.17,3.13,0.00,2.58
Gujarat State Petronet,Energy,13.64,2.56,0.00,2.19
Engineers India,Construction,16.85,6.25,1.94,2.15
Cummins India,Engineering,23.86,2.47,0.00,2.09
National Aluminium,Metals,7.12,2.49,0.00,1.82
Chalet Hotel,Services,0.00,2.02,0.00,1.80
Bank of Baroda,Financial,57.41,1.82,0.00,1.71
Tata Power,Energy,24.54,1.79,0.00,1.64
TVS Motor Co.,Automobile,31.09,1.62,0.00,1.62
Thomas Cook (India),Services,116.25,3.70,1.38,1.59
Gujarat Pipavav Port,Services,17.94,3.19,0.00,1.56
Apollo Tyres,Automobile,18.33,2.35,0.00,1.54
ACC,Construction,15.67,1.56,0.00,1.46
Elgi Equipments,Engineering,42.20,3.76,1.16,1.35
130. ICICI Prudential Midcap Select ETF
Divi's Laboratories,Healthcare,34.37,6.22,1.65,5.94
Colgate-Palmolive,FMCG,56.99,5.62,2.95,5.62
Shriram Transport Finance,Financial,9.39,5.45,2.98,5.03
Federal Bank,Financial,11.02,5.88,0.00,4.98
Container Corp.,Services,31.21,4.64,2.53,4.64
Voltas,Cons Durable,47.61,4.37,0.00,4.35
Info Edge (India),Services,101.30,3.92,0.00,3.92
Page Industries,Textiles,65.74,5.13,1.81,3.66
MRF,Automobile,24.57,4.00,2.83,3.63
Apollo Hospitals,Healthcare,65.82,4.06,1.72,3.54
Indraprastha Gas,Energy,30.95,3.51,0.00,3.43
Indian Hotels,Services,65.94,3.24,0.00,3.24
Tata Global Beverages,FMCG,42.67,3.45,0.00,3.22
LIC Housing Fin.,Financial,7.07,5.04,3.19,3.19
RBL Bank,Financial,13.69,5.71,0.00,3.18
Tata Power,Energy,24.54,4.17,2.97,3.17
Cholamandalam Invest. & Fin.,Financial,18.51,3.16,0.00,3.16
Bharat Forge,Automobile,20.83,5.04,2.71,3.14
Crompton Greaves Consumer Electricals,Cons Durable,39.54,2.91,0.00,2.91
Tata Chemicals,Chemicals,13.08,3.37,2.13,2.90
Biocon,Healthcare,31.02,4.04,0.00,2.77
M&M Financial Services,Financial,17.17,3.89,1.89,2.73
The Ramco Cements,Construction,31.19,2.75,0.00,2.68
Rajesh Exports,Cons Durable,16.69,2.91,1.62,2.54
Exide Industries,Engineering,17.70,3.39,1.87,2.51
131. ICICI Prudential MNC Fund
HCL Technologies,Technology,14.95,10.03,1.47,9.82
Maruti Suzuki India,Automobile,32.03,9.69,1.67,9.69
Nestle India,FMCG,85.62,7.10,0.41,7.10
Infosys,Technology,17.88,9.61,7.00,7.00
Colgate-Palmolive,FMCG,56.99,6.16,2.20,6.16
Bharti Airtel,Communication,0.00,6.06,2.11,5.86
Tech Mahindra,Technology,16.17,9.15,1.91,5.19
Tata Consultancy Services,Technology,23.99,5.21,0.00,4.83
United Breweries,FMCG,69.79,4.08,2.02,4.08
Vedanta,Metals,7.91,3.71,1.99,3.71
Hindalco Inds.,Metals,50.91,2.68,1.65,2.68
Sanofi India,Healthcare,36.30,2.45,0.00,2.45
Cummins India,Engineering,23.86,2.40,1.48,2.40
Wipro,Technology,14.61,2.38,0.00,2.38
Ambuja Cements,Construction,15.74,2.31,0.00,2.31
Oracle Fin Ser Software,Technology,19.26,2.45,0.05,2.27
Apollo Tyres,Automobile,18.33,2.26,1.04,2.26
Interglobe Aviation,Services,48.50,2.09,0.00,1.82
Cyient,Technology,10.17,1.63,1.44,1.63
Motherson Sumi Systems,Automobile,22.33,1.62,0.67,1.62
Syngene International,Healthcare,39.69,1.48,0.00,1.48
Grindwell Norton,Metals,40.55,1.12,0.00,1.12
Alkem Laboratories,Healthcare,28.99,1.08,0.00,1.08
UPL,Chemicals,41.06,1.01,0.90,0.96
Tata Chemicals,Chemicals,13.08,1.02,0.93,0.94
132. ICICI Prudential MNC Fund - Direct Plan
HCL Technologies,Technology,14.95,10.03,1.47,9.82
Maruti Suzuki India,Automobile,32.03,9.69,1.67,9.69
Nestle India,FMCG,85.62,7.10,0.41,7.10
Infosys,Technology,17.88,9.61,7.00,7.00
Colgate-Palmolive,FMCG,56.99,6.16,2.20,6.16
Bharti Airtel,Communication,0.00,6.06,2.11,5.86
Tech Mahindra,Technology,16.17,9.15,1.91,5.19
Tata Consultancy Services,Technology,23.99,5.21,0.00,4.83
United Breweries,FMCG,69.79,4.08,2.02,4.08
Vedanta,Metals,7.91,3.71,1.99,3.71
Hindalco Inds.,Metals,50.91,2.68,1.65,2.68
Sanofi India,Healthcare,36.30,2.45,0.00,2.45
Cummins India,Engineering,23.86,2.40,1.48,2.40
Wipro,Technology,14.61,2.38,0.00,2.38
Ambuja Cements,Construction,15.74,2.31,0.00,2.31
Oracle Fin Ser Software,Technology,19.26,2.45,0.05,2.27
Apollo Tyres,Automobile,18.33,2.26,1.04,2.26
Interglobe Aviation,Services,48.50,2.09,0.00,1.82
Cyient,Technology,10.17,1.63,1.44,1.63
Motherson Sumi Systems,Automobile,22.33,1.62,0.67,1.62
Syngene International,Healthcare,39.69,1.48,0.00,1.48
Grindwell Norton,Metals,40.55,1.12,0.00,1.12
Alkem Laboratories,Healthcare,28.99,1.08,0.00,1.08
UPL,Chemicals,41.06,1.01,0.90,0.96
Tata Chemicals,Chemicals,13.08,1.02,0.93,0.94
133. ICICI Prudential Moderate Fund
ICICI Pru Corporate Bond Direct-G,-,-,-,-,36.83
ICICI Pru Savings Direct -G,-,-,-,-,36.67
ICICI Pru Short Term Direct-G,-,-,-,-,15.27
ICICI Pru Bluechip Direct-G,-,-,-,-,10.96
134. ICICI Prudential Moderate Fund - Direct Plan
ICICI Pru Corporate Bond Direct-G,-,-,-,-,36.83
ICICI Pru Savings Direct -G,-,-,-,-,36.67
ICICI Pru Short Term Direct-G,-,-,-,-,15.27
ICICI Pru Bluechip Direct-G,-,-,-,-,10.96
135. ICICI Prudential Multi Asset Fund
NTPC,Energy,10.16,10.47,0.00,9.12
Bharti Airtel,Communication,0.00,9.18,2.33,7.28
ICICI Bank,Financial,54.91,7.59,3.29,6.92
ONGC,Energy,6.72,5.49,0.00,5.49
Vedanta,Metals,7.91,5.71,0.00,4.44
Hindalco Inds.,Metals,50.91,3.92,0.00,3.92
ITC,FMCG,24.04,5.48,0.00,3.38
State Bank of India,Financial,30.54,4.31,0.28,2.90
Indian Oil Corp.,Energy,9.75,2.74,0.00,2.74
Sun Pharmaceutical Inds.,Healthcare,32.00,3.10,0.30,2.63
Cipla,Healthcare,23.55,3.91,0.39,2.20
Great Eastern Shipping Co.,Services,27.08,3.27,0.97,1.14
Federal Bank,Financial,11.02,1.38,0.00,1.05
Tata Power,Energy,24.54,2.37,0.53,1.03
Tata Chemicals,Chemicals,13.08,5.10,0.20,0.85
TVS Motor Co.,Automobile,31.09,0.92,0.00,0.79
Oil India,Energy,7.12,0.79,0.00,0.65
HCL Technologies,Technology,14.95,2.78,0.44,0.58
Bank of Baroda,Financial,57.41,0.78,0.00,0.55
Apollo Tyres,Automobile,18.33,1.04,0.00,0.53
GMDC,Energy,38.55,1.19,0.52,0.52
Tech Mahindra,Technology,16.17,2.26,0.00,0.51
Motherson Sumi Systems,Automobile,22.33,0.56,0.00,0.50
Vodafone Idea,Communication,0.00,1.07,0.00,0.48
Gujarat Pipavav Port,Services,17.94,0.57,0.00,0.47
136. ICICI Prudential Multi Asset Fund - Direct Plan
NTPC,Energy,10.16,10.47,0.00,9.12
Bharti Airtel,Communication,0.00,9.18,2.33,7.28
ICICI Bank,Financial,54.91,7.59,3.29,6.92
ONGC,Energy,6.72,5.49,0.00,5.49
Vedanta,Metals,7.91,5.71,0.00,4.44
Hindalco Inds.,Metals,50.91,3.92,0.00,3.92
ITC,FMCG,24.04,5.48,0.00,3.38
State Bank of India,Financial,30.54,4.31,0.28,2.90
Indian Oil Corp.,Energy,9.75,2.74,0.00,2.74
Sun Pharmaceutical Inds.,Healthcare,32.00,3.10,0.30,2.63
Cipla,Healthcare,23.55,3.91,0.39,2.20
Great Eastern Shipping Co.,Services,27.08,3.27,0.97,1.14
Federal Bank,Financial,11.02,1.38,0.00,1.05
Tata Power,Energy,24.54,2.37,0.53,1.03
Tata Chemicals,Chemicals,13.08,5.10,0.20,0.85
TVS Motor Co.,Automobile,31.09,0.92,0.00,0.79
Oil India,Energy,7.12,0.79,0.00,0.65
HCL Technologies,Technology,14.95,2.78,0.44,0.58
Bank of Baroda,Financial,57.41,0.78,0.00,0.55
Apollo Tyres,Automobile,18.33,1.04,0.00,0.53
GMDC,Energy,38.55,1.19,0.52,0.52
Tech Mahindra,Technology,16.17,2.26,0.00,0.51
Motherson Sumi Systems,Automobile,22.33,0.56,0.00,0.50
Vodafone Idea,Communication,0.00,1.07,0.00,0.48
Gujarat Pipavav Port,Services,17.94,0.57,0.00,0.47
137. ICICI Prudential Multi Asset Fund - Institutional Plan
NTPC,Energy,10.16,10.47,0.00,9.12
Bharti Airtel,Communication,0.00,9.18,2.33,7.28
ICICI Bank,Financial,54.91,7.59,3.29,6.92
ONGC,Energy,6.72,5.49,0.00,5.49
Vedanta,Metals,7.91,5.71,0.00,4.44
Hindalco Inds.,Metals,50.91,3.92,0.00,3.92
ITC,FMCG,24.04,5.48,0.00,3.38
State Bank of India,Financial,30.54,4.31,0.28,2.90
Indian Oil Corp.,Energy,9.75,2.74,0.00,2.74
Sun Pharmaceutical Inds.,Healthcare,32.00,3.10,0.30,2.63
Cipla,Healthcare,23.55,3.91,0.39,2.20
Great Eastern Shipping Co.,Services,27.08,3.27,0.97,1.14
Federal Bank,Financial,11.02,1.38,0.00,1.05
Tata Power,Energy,24.54,2.37,0.53,1.03
Tata Chemicals,Chemicals,13.08,5.10,0.20,0.85
TVS Motor Co.,Automobile,31.09,0.92,0.00,0.79
Oil India,Energy,7.12,0.79,0.00,0.65
HCL Technologies,Technology,14.95,2.78,0.44,0.58
Bank of Baroda,Financial,57.41,0.78,0.00,0.55
Apollo Tyres,Automobile,18.33,1.04,0.00,0.53
GMDC,Energy,38.55,1.19,0.52,0.52
Tech Mahindra,Technology,16.17,2.26,0.00,0.51
Motherson Sumi Systems,Automobile,22.33,0.56,0.00,0.50
Vodafone Idea,Communication,0.00,1.07,0.00,0.48
Gujarat Pipavav Port,Services,17.94,0.57,0.00,0.47
138. ICICI Prudential Multicap Fund
ICICI Bank,Financial,54.91,6.22,0.00,6.22
NTPC,Energy,10.16,6.43,0.00,6.19
State Bank of India,Financial,30.54,6.57,0.00,4.55
Bharti Airtel,Communication,0.00,5.12,0.00,4.40
ITC,FMCG,24.04,7.21,0.00,4.34
ONGC,Energy,6.72,4.74,0.00,3.90
Axis Bank,Financial,45.64,4.88,0.00,3.90
Larsen & Toubro,Construction,21.90,4.32,0.00,3.12
Tata Chemicals,Chemicals,13.08,2.82,0.00,2.67
HDFC Bank,Financial,29.06,6.20,0.00,2.36
Vedanta,Metals,7.91,4.34,0.00,2.32
Cipla,Healthcare,23.55,5.21,0.00,2.15
Sun Pharmaceutical Inds.,Healthcare,32.00,6.83,0.00,2.00
Hindalco Inds.,Metals,50.91,2.99,0.00,1.84
TVS Motor Co.,Automobile,31.09,2.49,0.00,1.81
Indian Oil Corp.,Energy,9.75,3.22,0.00,1.78
SBI Life Insurance Company,Financial,81.79,1.83,0.00,1.73
Infosys,Technology,17.88,6.69,0.00,1.70
Motherson Sumi Systems,Automobile,22.33,4.51,0.00,1.58
Engineers India,Construction,16.85,3.26,0.00,1.53
HCL Technologies,Technology,14.95,3.18,0.00,1.49
Tech Mahindra,Technology,16.17,1.99,0.00,1.48
Federal Bank,Financial,11.02,1.47,0.00,1.47
Maruti Suzuki India,Automobile,32.03,5.18,0.00,1.39
Marico,FMCG,43.27,1.45,0.00,1.37
139. ICICI Prudential Multicap Fund - Direct Plan
ICICI Bank,Financial,54.91,6.22,0.00,6.22
NTPC,Energy,10.16,6.43,0.00,6.19
State Bank of India,Financial,30.54,6.57,0.00,4.55
Bharti Airtel,Communication,0.00,5.12,0.00,4.40
ITC,FMCG,24.04,7.21,0.00,4.34
ONGC,Energy,6.72,4.74,0.00,3.90
Axis Bank,Financial,45.64,4.88,0.00,3.90
Larsen & Toubro,Construction,21.90,4.32,0.00,3.12
Tata Chemicals,Chemicals,13.08,2.82,0.00,2.67
HDFC Bank,Financial,29.06,6.20,0.00,2.36
Vedanta,Metals,7.91,4.34,0.00,2.32
Cipla,Healthcare,23.55,5.21,0.00,2.15
Sun Pharmaceutical Inds.,Healthcare,32.00,6.83,0.00,2.00
Hindalco Inds.,Metals,50.91,2.99,0.00,1.84
TVS Motor Co.,Automobile,31.09,2.49,0.00,1.81
Indian Oil Corp.,Energy,9.75,3.22,0.00,1.78
SBI Life Insurance Company,Financial,81.79,1.83,0.00,1.73
Infosys,Technology,17.88,6.69,0.00,1.70
Motherson Sumi Systems,Automobile,22.33,4.51,0.00,1.58
Engineers India,Construction,16.85,3.26,0.00,1.53
HCL Technologies,Technology,14.95,3.18,0.00,1.49
Tech Mahindra,Technology,16.17,1.99,0.00,1.48
Federal Bank,Financial,11.02,1.47,0.00,1.47
Maruti Suzuki India,Automobile,32.03,5.18,0.00,1.39
Marico,FMCG,43.27,1.45,0.00,1.37
140. ICICI Prudential Multiple Yield Fund - Series 10 - 1775 Days - Plan A
Infosys,Technology,17.88,3.35,2.17,3.29
ICICI Bank,Financial,54.91,2.41,1.76,2.38
HDFC Bank,Financial,29.06,3.57,2.13,2.34
State Bank of India,Financial,30.54,2.75,0.83,2.06
NTPC,Energy,10.16,2.02,0.00,1.93
Shree Cement,Construction,53.02,2.06,1.20,1.52
Larsen & Toubro,Construction,21.90,2.50,0.98,1.31
Cipla,Healthcare,23.55,2.44,1.17,1.17
Axis Bank,Financial,45.64,2.24,1.13,1.15
Ambuja Cements,Construction,15.74,2.95,1.08,1.08
ITC,FMCG,24.04,1.18,0.00,1.00
Asian Paints,Chemicals,65.80,0.85,0.00,0.85
Coal India,Energy,7.06,0.82,0.00,0.82
HCL Technologies,Technology,14.95,2.73,0.54,0.56
Hindustan Unilever,FMCG,69.38,1.49,0.49,0.56
Sun Pharmaceutical Inds.,Healthcare,32.00,1.23,0.00,0.52
141. ICICI Prudential Multiple Yield Fund - Series 10 - 1775 Days - Plan A - Direct Plan
Infosys,Technology,17.88,3.35,2.17,3.29
ICICI Bank,Financial,54.91,2.41,1.76,2.38
